Название;Описание;Цена;"Длина, мм";"Толщина, мм";"Ширина, мм";"Метод изготовления";ГОСТ;Марка
"Лист стальной горячекатаный 2х950х2000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х950х2000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х950х2000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";3981;2;2000;950;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х950х6000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х950х6000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х950х6000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";3982;2;6000;950;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х1000х2000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х1000х2000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х1000х2000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";4364;1000;2;2000;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х1000х6000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х1000х6000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х1000х6000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";4364;1000;2;6000;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х1100х2000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х1100х2000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х1100х2000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";4891;1100;2;2000;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х1100х6000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х1100х6000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х1100х6000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";4891;1100;2;6000;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х1250х2000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х1250х2000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х1250х2000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";5502;1250;2;2000;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х700х6000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х700х6000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х700х6000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";2063;2;6000;700;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х1400х2000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х1400х2000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х1400х2000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";6359;1400;2;2000;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х1400х6000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х1400х6000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х1400х6000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";6359;1400;2;6000;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х1420х2000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х1420х2000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х1420х2000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";7201;1420;2;2000;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х1420х6000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х1420х6000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х1420х6000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";7201;1420;2;6000;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х1500х2000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х1500х2000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х1500х2000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";8154;1500;2;2000;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х1500х6000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х1500х6000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х1500х6000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";8155;1500;2;6000;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х600х1420 мм ст3сп ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х600х1420 мм ст3сп ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х600х1420 мм ст3сп ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";1447;1420;2;600;горячекатаный;"ГОСТ 19903-74";Ст3сп
